"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
151548,6.06,"52.34226092","12.99430271"
151549,6.07,"52.34226087","12.99431028"
151550,6.1,"52.34226067","12.99431769"
151551,6.11,"52.34226067","12.99432465"
151552,6.13,"52.34226052","12.99433138"
151553,6.14,"52.34226048","12.99433844"
151554,6.15,"52.34226059","12.99434566"
151555,6.16,"52.34226077","12.99435297"
151556,6.17,"52.34226116","12.99436135"
151557,6.18,"52.34226161","12.99437048"
151558,6.23,"52.34226214","12.99437975"
151559,6.23,"52.34226280","12.99438911"
151600,6.24,"52.34226353","12.99439865"
151601,6.27,"52.34226415","12.99440822"
151602,6.28,"52.34226473","12.99441712"
151603,6.3,"52.34226496","12.99442517"
151604,6.3,"52.34226499","12.99443285"
151605,6.32,"52.34226482","12.99444050"
151606,6.34,"52.34226486","12.99444887"
151607,6.36,"52.34226493","12.99445762"
151608,6.36,"52.34226474","12.99446621"
151609,6.4,"52.34226395","12.99447503"
151610,6.44,"52.34226276","12.99448359"
151611,6.48,"52.34226143","12.99449182"
151612,6.47,"52.34225977","12.99449959"
151613,6.5,"52.34225802","12.99450716"
151614,6.53,"52.34225619","12.99451425"
151615,6.52,"52.34225441","12.99452130"
151616,6.54,"52.34225254","12.99452827"
151617,6.55,"52.34225072","12.99453554"
151618,6.6,"52.34224892","12.99454290"
151619,6.61,"52.34224734","12.99455038"
151620,6.62,"52.34224590","12.99455790"
151621,6.64,"52.34224453","12.99456552"
151622,6.65,"52.34224341","12.99457315"
151623,6.68,"52.34224242","12.99458071"
151624,6.69,"52.34224131","12.99458788"
151625,6.71,"52.34224028","12.99459497"
151626,6.75,"52.34223919","12.99460190"
151627,6.74,"52.34223812","12.99460864"
151628,6.75,"52.34223703","12.99461547"
151629,6.77,"52.34223596","12.99462244"
151630,6.79,"52.34223477","12.99462964"
151631,6.81,"52.34223339","12.99463682"
151632,6.83,"52.34223181","12.99464381"
151633,6.85,"52.34222990","12.99465041"
151634,6.88,"52.34222787","12.99465686"
151635,6.89,"52.34222561","12.99466309"
151636,6.91,"52.34222321","12.99466921"
151637,6.91,"52.34222078","12.99467541"
151638,6.95,"52.34221830","12.99468160"
151639,6.98,"52.34221579","12.99468793"
151640,6.99,"52.34221321","12.99469435"
151641,7,"52.34221064","12.99470074"
151642,7.02,"52.34220796","12.99470741"
151643,7.05,"52.34220531","12.99471420"
151644,7.06,"52.34220285","12.99472102"
151645,7.08,"52.34220043","12.99472802"
151646,7.11,"52.34219800","12.99473515"
151647,7.12,"52.34219565","12.99474236"
151648,7.13,"52.34219344","12.99474969"
151649,7.14,"52.34219128","12.99475699"
151650,7.16,"52.34218920","12.99476441"
151651,7.18,"52.34218724","12.99477189"
151652,7.2,"52.34218529","12.99477950"
151653,7.22,"52.34218343","12.99478716"
151654,7.23,"52.34218152","12.99479463"
151655,7.25,"52.34217953","12.99480215"
151656,7.26,"52.34217745","12.99480956"
151657,7.28,"52.34217543","12.99481705"
151658,7.3,"52.34217331","12.99482436"
151659,7.32,"52.34217121","12.99483177"
151700,7.35,"52.34216899","12.99483920"
151701,7.36,"52.34216671","12.99484663"
151702,7.38,"52.34216441","12.99485409"
151703,7.4,"52.34216204","12.99486150"
151704,7.42,"52.34215964","12.99486879"
151705,7.44,"52.34215728","12.99487595"
